NYSE-JPM,114.77,1534573027471,1,0,-1,1,1,1,0,0,0,0,NYSE,JPM,1
NASDAQ-KALA,12.14,1534573048387,-2,0,-2,-1,-2,-2,0,0,0,0,NASDAQ,KALA,-2
NASDAQ-LRCX,169.91,1534573069577,-1,0,-2,-1,-1,1,-1,0,0,0,NASDAQ,LRCX,-1
NYSE-LSI,102.24,1534573090911,1,0,1,1,1,1,0,0,0,0,NYSE,LSI,1
NYSE-LUV,59.68,1534573112618,1,0,1,1,1,1,0,0,0,0,NYSE,LUV,1
NYSE-MCD,161.15,1534573133897,1,0,1,1,1,1,0,0,0,0,NYSE,MCD,1
NYSE-MDT,90.6,1534573154947,1,0,1,1,1,1,0,0,0,0,NYSE,MDT,1
NYSE-MMM,204.77,1534573177533,1,0,1,1,1,1,0,0,0,0,NYSE,MMM,1
NYSE-MOS,29.63,1534573198843,1,0,-1,1,1,1,1,0,0,0,NYSE,MOS,1
NYSE-MPW,14.93,1534573220501,2,0,2,2,2,1,0,0,0,0,NYSE,MPW,2
NASDAQ-MSFT,107.58,1534573241150,1,0,-1,1,1,1,1,0,0,0,NASDAQ,MSFT,1
NASDAQ-MU,47.11,1534573262592,0,0,-1,-1,-1,1,0,0,0,0,NASDAQ,MU,0
NYSE-MUX,1.91,1534573283861,-1,0,-1,-1,-1,-2,0,0,0,0,NYSE,MUX,-1
NASDAQ-NFLX,316.78,1534573306568,0,0,-1,-1,-1,1,0,0,0,0,NASDAQ,NFLX,0
NYSE-NOK,5.23,1534573328016,-1,0,-1,-1,-1,-1,0,0,0,0,NYSE,NOK,-1
NASDAQ-NTLA,27.87,1534573349567,1,0,1,1,1,1,0,0,0,0,NASDAQ,NTLA,1
TSX-NTR,55.96,1534573370648,1,0,1,1,1,0,0,0,0,0,TSX,NTR,1
NASDAQ-NVAX,1.25,1534573391247,-1,0,-1,-1,-1,-1,0,0,0,0,NASDAQ,NVAX,-1
NASDAQ-NVDA,244.82,1534573412624,0,0,-1,-1,1,1,0,0,0,0,NASDAQ,NVDA,0
NYSE-O,58.85,1534573434012,2,1,1,2,2,1,2,0,0,0,NYSE,O,1
NASDAQ-PACB,4.19,1534573455582,1,0,1,1,1,1,0,0,0,0,NASDAQ,PACB,1
NYSE-PFE,42.09,1534573476444,2,0,2,2,1,1,0,0,0,0,NYSE,PFE,2
NASDAQ-PFLT,13.63,1534573498525,0,0,-1,-1,1,1,0,0,0,0,NASDAQ,PFLT,0
AMEX-PLM,0.88,1534573519819,1,0,1,1,1,1,0,0,0,0,AMEX,PLM,1
NYSE-PPG,108.42,1534573541540,1,0,1,1,1,1,0,0,0,0,NYSE,PPG,1
NASDAQ-PRVB,3.83,1534573562856,1,0,1,1,0,0,0,0,0,0,NASDAQ,PRVB,1
NASDAQ-QCOM,66.06,1534573584587,1,0,1,1,2,1,0,0,0,0,NASDAQ,QCOM,1
NYSE-RCL,115.72,1534573605724,1,0,1,1,1,1,0,0,0,0,NYSE,RCL,1
NYSE-REG,65.21,1534573627471,2,0,2,2,1,1,0,0,0,0,NYSE,REG,2
AMEX-REMX,19.66,1534573648799,-1,0,-1,-1,-1,-1,0,0,0,0,AMEX,REMX,-1
NYSE-RIO,48.26,1534573670970,-1,0,-1,-1,-1,0,0,0,0,0,NYSE,RIO,-1
NYSE-ROK,173.63,1534573693532,0,0,-1,-1,-1,1,0,0,0,0,NYSE,ROK,0
NASDAQ-RWLK,0.96,1534573715107,0,0,1,1,-1,-1,0,0,0,0,NASDAQ,RWLK,0
NYSE-S,6.13,1534573736650,1,0,1,1,1,-1,0,0,0,0,NYSE,S,1
NASDAQ-SBBP,5.15,1534573758159,-1,0,-1,-2,-1,-1,0,0,0,0,NASDAQ,SBBP,-1
NYSE-SBS,6.41,1534573781162,-1,0,-2,-2,-1,-1,0,0,0,0,NYSE,SBS,-1
NASDAQ-SBUX,53.56,1534573803736,0,0,1,1,-1,-1,0,0,0,0,NASDAQ,SBUX,0
NASDAQ-SGMO,15.35,1534573825710,1,0,1,1,0,1,0,0,0,0,NASDAQ,SGMO,1
NYSE-SJT,5.87,1534573847808,-1,0,-1,-1,-1,-1,0,0,0,0,NYSE,SJT,-1
AMEX-SLV,13.92,1534573868943,-1,0,-1,-1,-1,-1,0,0,0,0,AMEX,SLV,-1
NYSE-SO,46.97,1534573891535,0,0,-1,-1,1,-1,0,0,0,0,NYSE,SO,0
NYSE-SQ,72.9,1534573913077,2,0,1,1,2,2,0,0,0,0,NYSE,SQ,2
AMEX-SVXY,14.11,1534573935614,0,0,1,1,-1,-1,0,0,0,0,AMEX,SVXY,0
NASDAQ-SWKS,91.85,1534573956819,-1,0,-1,-1,-1,-1,0,0,0,0,NASDAQ,SWKS,-1
NYSE-SXCP,15.9,1534573977758,-1,0,-1,-1,-1,-1,0,0,0,0,NYSE,SXCP,-1
NYSE-T,33.03,1534573998458,1,0,1,1,1,-1,0,0,0,0,NYSE,T,1
NYSE-TECK,22.78,1534574020623,-1,0,-1,-1,-1,-1,0,0,0,0,NYSE,TECK,-1
NYSE-TEVA,24.22,1534574041736,1,0,1,2,1,-1,0,0,0,0,NYSE,TEVA,1
NASDAQ-TMUS,65.9,1534574062591,1,0,1,1,2,1,0,0,0,0,NASDAQ,TMUS,1
NYSE-TROX,15.31,1534574083664,-1,0,-1,-2,-1,-1,-2,0,0,0,NYSE,TROX,-1
NASDAQ-TSLA,305.5,1534574104654,-1,0,-1,-2,-1,0,-2,0,0,0,NASDAQ,TSLA,-1
NYSE-TWTR,32.73,1534574125620,0,0,-1,-1,1,1,0,0,0,0,NYSE,TWTR,0
NASDAQ-TXN,109.64,1534574147613,0,0,-1,-1,1,1,0,0,0,0,NASDAQ,TXN,0
AMEX-UAMY,0.577,1534574168185,1,0,1,1,1,1,0,0,0,0,AMEX,UAMY,1
NYSE-V,141.33,1534574189628,2,0,2,1,1,2,0,0,0,0,NYSE,V,2
NYSE-VALE,13.0,1534574210640,-1,0,-2,-1,-1,1,0,0,0,0,NYSE,VALE,-1
AMEX-VHT,172.94,1534574231728,2,1,1,2,2,1,2,0,0,0,AMEX,VHT,1
AMEX-VIG,108.02,1534574253099,2,0,1,2,2,1,0,0,0,0,AMEX,VIG,2
NASDAQ-VKTX,10.45,1534574275543,1,0,1,1,1,1,0,0,0,0,NASDAQ,VKTX,1
AMEX-VTI,147.17,1534574296306,2,0,1,1,2,2,0,0,0,0,AMEX,VTI,2
AMEX-VYM,87.33,1534574317622,2,1,1,2,2,1,2,0,0,0,AMEX,VYM,1
NASDAQ-VYMI,62.18,1534574338398,-1,0,-1,-2,-1,-1,-2,0,0,0,NASDAQ,VYMI,-1
NYSE-VZ,54.79,1534574359631,1,0,1,1,2,1,0,0,0,0,NYSE,VZ,1
NYSE-WFC,58.86,1534574381360,1,1,1,2,1,1,2,0,0,0,NYSE,WFC,0
NYSE-WPG,7.83,1534574403778,1,0,1,1,1,-1,0,0,0,0,NYSE,WPG,1
NYSE-WPM,18.43,1534574424756,-1,0,-2,-1,-1,-1,-1,0,0,0,NYSE,WPM,-1
NYSE-WTR,37.71,1534574445910,1,0,1,1,2,1,0,0,0,0,NYSE,WTR,1
NYSE-XOM,78.26,1534574467477,-1,0,-1,-1,-1,-1,0,0,0,0,NYSE,XOM,-1
AMEX-XPL,0.373,1534574488979,-1,0,-1,-1,-2,-1,0,0,0,0,AMEX,XPL,-1
NASDAQ-ZNGA,3.72,1534574510697,0,0,-1,-1,-1,1,0,0,0,0,NASDAQ,ZNGA,0
